x_value,y_value
-12.508046281747514,-9.998729965601786
-12.508079602313972,-9.99872500812454
-12.508115417971975,-9.998719681575261
-12.508151220707049,-9.99871435901828
-12.508187009825152,-9.99870904026404
-12.508222786736177,-9.998703725442493
-12.50825855604022,-9.998698412813239
-12.508294314014504,-9.998693099907332
-12.508330775587504,-9.998687680438659
-12.50836579696038,-9.998682473771591
-12.508401530720468,-9.998677164343633
-12.508437257845005,-9.998671856720637
-12.508472978281203,-9.998666550756097
-12.508509406216977,-9.99866114036397
-12.50854440083257,-9.998655944154322
-12.508580107132163,-9.99865064405155
-12.50861580673968,-9.998645345009379
-12.508651498251494,-9.9986400470061
-12.508687181648288,-9.998634750037649
-12.5087228580446,-9.998629454128624
-12.508758529146597,-9.998624156355673
-12.508794193155671,-9.998618854618893
-12.508829850096522,-9.998613548910251
-12.508865499948394,-9.998608239214532
-12.508901142682552,-9.998602925513573
-12.508936479697336,-9.998597575546576
-12.508971712659092,-9.998592195993632
-12.509006945589961,-9.998586814419836
-12.509042178094246,-9.998581431150408
-12.509077410142694,-9.998576046175463
-12.509112641732436,-9.998570659487648
-12.509147872863137,-9.99856527107983
-12.509183103534784,-9.998559880944887
-12.509218333747372,-9.998554489075685
-12.509253563500828,-9.998549095465062
-12.509288792795209,-9.9985437001058
-12.50932437391656,-9.998538249010632
-12.509359250006797,-9.998532904112425
-12.509394830200916,-9.998527449448353
-12.509429705382395,-9.998522101037464
-12.509464932381807,-9.998516696826119
-12.509500158922492,-9.99851129082238
-12.509535385004478,-9.998505883018852
-12.509570610627879,-9.998500473408125
-12.509606188042124,-9.998495007859308
-12.509641060499368,-9.998489648735251
-12.509676284747767,-9.99848423365813
-12.509711508538134,-9.998478816743859
-12.509746731870639,-9.99847339798486
-12.509781954745488,-9.99846797737356
-12.509817177162878,-9.998462554902368
-12.50985239912301,-9.998457130563654
-12.509887620626133,-9.99845170434973
-12.509922841672465,-9.998446276252913
-12.509958062262292,-9.998440846265458
-12.509993282395893,-9.99843541437961
-12.510028502073524,-9.998429980587638
-12.510063721295511,-9.998424544881647
-12.510099292247542,-9.99841905286784
-12.510134158373837,-9.998413667696376
-12.510169376230857,-9.998408226201354
-12.510204593633588,-9.998402782760799
-12.510239810582426,-9.99839733736679
-12.51027502707776,-9.998391890011328
-12.510310243120005,-9.998386440686417
